id,front,right,back,left,x,y,yaw
0,0,0,0,0,0.0,0.0,0.0
1,0,0,0,0,0.0,0.0,0.0
2,112,0,100,0,0.0,0.0,0.0
3,142,29,140,54,0.0,0.0,0.0
4,158,39,146,72,0.0,0.0,0.0
5,154,36,152,69,0.0,0.0,0.0
6,155,36,152,71,0.00016200570098590106,-0.00021450649364851415,0.001189262606203556
7,157,36,155,73,0.000843954156152904,-0.0003298794326838106,0.004550006240606308
8,157,33,152,69,0.0013186732539907098,0.00020745315123349428,0.002750065876170993
9,162,38,151,70,0.0011757530737668276,-7.825122156646103e-05,0.0018793987110257149
10,152,34,152,72,0.0008754079462960362,-0.0003896313428413123,-0.0010111747542396188
11,155,33,153,69,0.0016639456152915955,-0.0006560674519278109,-0.003874141024425626
12,157,33,154,69,0.0016202031401917338,-0.0006414870731532574,-0.0071856435388326645
13,157,33,149,71,0.00016879025497473776,-0.00016138689534272999,-0.006134129129350185
14,158,36,153,70,0.0016212766058743,-0.0004213839420117438,-0.004803337622433901
15,158,34,152,74,0.0016227362211793661,-0.0001900066272355616,-0.0032162514980882406
16,158,33,155,72,0.0009159020264633,0.00023628148483112454,-0.004378659185022116
17,156,35,152,70,0.0011193887330591679,-0.0006198116461746395,-0.005923219490796328
18,157,34,151,68,0.001587260514497757,-0.0002094514638883993,-0.007600672077387571
19,154,37,150,69,0.00023541596601717174,-0.00042622233740985394,-0.007164718583226204
20,153,34,151,69,0.0018232143484055996,-0.0006581395864486694,-0.012212876230478287
21,159,35,151,70,0.0018447909969836473,-0.00042798154754564166,-0.012719024904072285
22,152,35,150,70,0.0018038221169263124,-0.0004124626284465194,-0.0192165095359087
23,158,37,150,71,0.0008832488092593849,0.00044078147038817406,-0.022762684151530266
24,154,37,149,71,0.0016316629480570555,-0.00043026285129599273,-0.030156973749399185
25,159,38,152,69,0.0011197375133633614,-0.00040799236739985645,-0.032719384878873825
26,156,34,151,70,0.0018630890408530831,-0.0001673000951996073,-0.037099774926900864
27,158,36,153,71,0.0017733791610226035,-0.0004042646614834666,-0.037839438766241074
28,32766,32,151,71,0.0015174009604379535,-0.0003961505717597902,-0.03946984186768532
29,159,35,151,69,-3.800896956818178e-05,-0.00015040053403936327,-0.04470052197575569
30,154,35,150,68,0.0008282013586722314,-0.00016150942246895283,-0.04847058653831482
